,Aliphatic_Index,y
Neg_2784,51.80851063829787,0
Neg_2759,148.4,0
Neg_2148,48.92857142857143,0
Neg_2886,61.42857142857142,0
Neg_903,99.15492957746476,0
Neg_2844,67.6923076923077,0
Neg_1071,91.92307692307692,0
Neg_2491,76.35135135135135,0
Neg_2731,49.99999999999999,0
Neg_1497,66.12903225806451,0
Neg_2096,147.4418604651163,0
Neg_2234,17.590361445783135,0
Neg_263,101.7391304347826,0
Neg_2409,92.85714285714285,0
Neg_171,90.24691358024693,0
Neg_2185,105.68421052631578,0
Neg_1630,110.75757575757576,0
Neg_239,81.49253731343282,0
Neg_933,81.25,0
Neg_2276,73.52941176470588,0
Neg_2707,95.11904761904762,0
Neg_1971,125.0,0
Neg_293,65.18518518518518,0
Neg_766,113.41176470588232,0
Neg_1208,100.14285714285714,0
Neg_1076,80.27027027027026,0
Neg_2860,75.14285714285714,0
Neg_2048,57.49999999999999,0
Neg_837,89.6,0
Neg_2085,86.53846153846155,0
Neg_1812,140.2439024390244,0
Neg_659,66.15384615384616,0
Neg_2775,81.61290322580645,0
Neg_807,72.75862068965517,0
Neg_379,62.55102040816327,0
Neg_683,63.49206349206349,0
Neg_2124,87.14285714285714,0
Neg_1239,54.6,0
Neg_1478,111.2,0
Neg_711,88.57142857142856,0
Neg_1422,61.07142857142857,0
Neg_2642,81.38888888888889,0
Neg_2243,100.65934065934069,0
Neg_419,121.78571428571428,0
Neg_2335,80.84507042253522,0
Neg_708,82.6923076923077,0
Neg_2224,82.20779220779221,0
Neg_75,113.52941176470588,0
Neg_1927,85.18987341772151,0
Neg_396,75.0,0
Neg_2062,123.04347826086956,0
Neg_1758,95.11627906976744,0
Neg_1696,118.46153846153844,0
Neg_1938,113.0,0
Neg_2212,0.0,0
Neg_491,67.29729729729729,0
Neg_857,45.38461538461539,0
Neg_2686,46.66666666666666,0
Neg_2549,76.60714285714285,0
Neg_465,76.16438356164383,0
Neg_214,99.76190476190474,0
Neg_1450,68.33333333333333,0
Neg_2311,154.8529411764706,0
Neg_566,87.23404255319147,0
Neg_1468,97.5,0
Neg_324,66.22641509433961,0
Neg_1106,92.6,0
Neg_1455,47.30769230769231,0
Neg_1775,70.8080808080808,0
Neg_2533,113.9622641509434,0
Neg_84,88.74999999999999,0
Neg_2087,100.45454545454548,0
Neg_454,57.7,0
Neg_1320,67.0,0
Neg_534,157.2222222222222,0
Neg_2600,86.3953488372093,0
Neg_2303,66.5909090909091,0
Neg_1332,97.36842105263156,0
Neg_1096,65.71428571428571,0
Neg_278,73.2142857142857,0
Neg_2916,20.52631578947368,0
Neg_365,42.27272727272728,0
Neg_929,168.10344827586206,0
Neg_955,63.07692307692308,0
Neg_1510,109.01960784313724,0
Neg_974,71.34146341463415,0
Neg_2768,70.75,0
Neg_1142,45.882352941176464,0
Neg_1174,52.3170731707317,0
Neg_848,58.108108108108105,0
Neg_991,65.09803921568627,0
Neg_565,78.78048780487805,0
Neg_1973,80.25316455696202,0
Neg_1172,101.33333333333334,0
Neg_2450,138.46153846153845,0
Neg_2795,103.07692307692308,0
Neg_33,52.16494845360824,0
Neg_2216,40.83333333333333,0
Neg_2359,84.66666666666667,0
Neg_515,77.05882352941175,0
Neg_208,104.69135802469134,0
Neg_2503,75.82417582417582,0
Neg_2396,48.92857142857142,0
Neg_1670,92.10526315789473,0
Neg_8,89.01234567901234,0
Neg_1802,66.86567164179104,0
Neg_1617,88.0,0
Neg_1353,76.61538461538461,0
Neg_917,38.26086956521739,0
Neg_1912,111.57894736842104,0
Neg_2647,70.32786885245902,0
Neg_2682,69.52380952380952,0
Neg_1130,56.57894736842105,0
Neg_1914,61.81818181818183,0
Neg_1659,40.34482758620689,0
Neg_1233,155.625,0
Neg_2379,89.14893617021276,0
Neg_1832,62.34042553191489,0
Neg_1156,115.05617977528088,0
Neg_2258,92.22222222222224,0
Neg_461,36.5625,0
Neg_1432,69.01639344262296,0
Neg_1840,49.0,0
Neg_51,68.8235294117647,0
Neg_2078,56.125,0
